,Application:, Trigno Discover (1.6.5),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,Date/Time:, 28/01/2025 14:43:53,,,,,
1,Collection Length (seconds):,44.6985,,,,,
2,wrist (81457), , , , , , bicep (81139)
3,sensor mode: 609, , , , , , sensor mode: 40
4,ACC X (G), ACC Y (G), ACC Z (G), GYRO X (deg/s), GYRO Y (deg/s), GYRO Z (deg/s), EMG 1 (mV)
5,370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 370.3704 Hz, 2148.1481 Hz
239,-0.8496094,0.4741211,0.1694336,1.1585366,-12.5,9.4512196,-0.0426337
240,-0.8447266,0.472168,0.1772461,0.5487805,-12.0731707,9.6341467,-0.0439765
241,-0.8530273,0.4682617,0.1821289,0.8536586,-11.6463413,9.5731707,-0.0416266
242,-0.8613281,0.4672852,0.1870117,0.6707317,-11.5853662,9.5121956,-0.0396124
243,-0.8701172,0.4755859,0.1875,1.4634147,-11.7073174,9.3292685,-0.0463264
244,-0.8745117,0.4770508,0.1811523,1.5243902,-11.8292685,9.5121956,-0.0469978
245,-0.8701172,0.4765625,0.1787109,1.7073171,-12.0121956,9.9390249,-0.0446479
246,-0.8603516,0.46875,0.1791992,1.5853659,-12.0731707,10.2439022,-0.0459907
247,-0.8544922,0.4667969,0.1826172,1.3414634,-12.1341467,10.6097565,-0.0500191
248,-0.8515625,0.4716797,0.1811523,1.5853659,-12.0121956,10.5487804,-0.0493477
249,-0.8466797,0.4755859,0.1821289,1.9512196,-11.4024391,10.5487804,-0.0446479
250,-0.8510742,0.4838867,0.1904297,2.3780489,-11.219512,10.7317076,-0.0486763
251,-0.8525391,0.4882812,0.1938477,2.3780489,-11.280488,10.9146347,-0.0466621
252,-0.8569336,0.4995117,0.1962891,2.195122,-11.1585369,11.4634151,-0.0433051
253,-0.8632812,0.4926758,0.1958008,2.0121951,-11.0975609,11.6463413,-0.0426337
254,-0.871582,0.4868164,0.1977539,2.3170731,-10.6707315,12.1341467,-0.0409552
255,-0.8754883,0.4716797,0.1977539,2.0731707,-10.8536587,12.6219511,-0.0426337
256,-0.871582,0.46875,0.203125,2.7439024,-11.341464,13.0487804,-0.0459907
257,-0.859375,0.4584961,0.1918945,3.2926829,-11.280488,13.2317076,-0.0433051
258,-0.8579102,0.4624023,0.1899414,4.6951222,-11.219512,13.5365858,-0.0419623
259,-0.8530273,0.4692383,0.1875,5.4878049,-11.1585369,13.7195129,-0.0406195
260,-0.8486328,0.4804688,0.1850586,7.3780489,-10.8536587,13.7195129,-0.0392767
261,-0.8598633,0.503418,0.1791992,8.5365858,-10.7926836,13.5365858,-0.0386053
